sozum,anlami,anahtar,turu2,kategori
acemi katır kapı önünde yük indirir,beceriksiz ve anlayışsız kişi kendisine yaptırılan işi en önemli yerinde bırakır.,indirmek,Atasözü,8
acemi nalbant gâvur eşeğinde öğrenir,"mesleğinde ustalığa erişmemiş kimse, ilk denemelerini gözden çıkarılabilecek malzeme üzerinde yapar.","eşek, öğrenmek",Atasözü,8
acemilik çekmek,alışamadığı bir işte zorluk çekmek.,acemilik,Deyim,4
acı (acılar) görmek,kötü günler yaşamak.,acı,Deyim,8
"acı acıyı keser, su sancıyı",bir güçlüğü yenmek için başka bir güç yola başvurulmalıdır.,kesmek,Atasözü,4
acı çekmek (duymak),"1) ağrı, sızı duymak:<i> Ameliyattan sonra çok acı çekti.</i> 2)<i> mec.</i> üzülmek, üzüntü içinde kalmak:<i> 'Bu faciaya bizzat karışmışım gibi bir acı duyuyordum.' -</i>Y. K. Karaosmanoğlu.",acı,Deyim,9
acı gelmek,"dokunmak, kırmak, üzmek:<i> 'Bu durumun gerçeklerle uyumsuzluğu ona acı geliyor.' -</i>A. Kutlu.",acı,Deyim,8
"acı (kötü) söz insanı (adamı) dinden çıkarır, tatlı söz yılanı inden çıkarır","gönül alıcı, okşayıcı sözlerle karşımızdakinin inadı yenilebilir.",çıkarmak,Atasözü,8
acı patlıcanı kırağı çalmaz,herhangi bir duruma alışkın olan kimseyi benzer kötü durumlar etkilemez.,çalmak,Atasözü,4
acı söylemek,olumsuz bir davranış karşısında gerçeği olduğu gibi söylemek.,acı,Deyim,4
"acıkan doymam sanır, susayan kanmam sanır","bir şeyi uzun süre elde edemeyen kimse, daha sonra o şeyden ne kadar çok edinirse edinsin yine kendisine yetmeyeceği kanısında bulunur.","acıkmak, doymak, sanmak, susamak, kanmak",Atasözü,9
"acıkan ne olsa yer, acıyan ne olsa söyler","geçim sıkıntısı içinde bulunan kişi geçinebilmek için her yolu dener, her işi yapar, canı yanan kişi de sonunu düşünmeden ağzına geleni söyler.","acıkmak, acımak, söylemek",Atasözü,2
"acıkan ne yemez, acıyan ne demez","geçim sıkıntısı içinde bulunan kişi geçinebilmek için her yolu dener, her işi yapar, canı yanan kişi de sonunu düşünmeden ağzına geleni söyler.","acıkmak, yemek, acımak, demek",Atasözü,8
"acıkanın yanağından, susayanın dudağından belli olur",bir insanın ne durumda olduğu yüzünden anlaşılır.,"acımak, yanak, susamak, dudak",Atasözü,4
acıklı başta akıl olmaz,büyük sıkıntılar içinde bulunanlar mantık dışı işler yapabilirler.,olmak,Atasözü,8
acıkmış kudurmuştan beterdir,"uzun süre bir nesnenin yokluğunu çeken kimse, onu gördüğünde büyük bir istekle ona saldırır.","acıkmak, kudurmak",Atasözü,4
acından kimse ölmemiş,"kişi yoksul olabilir, işsiz ve parasız kalabilir ama aç kalmaz, mutlaka bir geçim yolu bulur.",ölmek,Atasözü,8
acından ölmek,1) çok acıkmak; 2) aşırı derecede yoksul olmak.,aç,Deyim,9
"acındırırsan arsız olur, acıktırırsan hırsız olur","koruduğunuz kimsenin sürekli acınmasına izin verirseniz arsız olur, emeğinin karşılığını tam olarak vermediğiniz kişi de hırsız olur.","acındırmak, olmak, acıktırmak",Atasözü,8
acısı içine (yüreğine) çökmek (işlemek),1) bir şeyin acısını derinden duymak; 2) kötü bir şey olacağını düşünerek önceden üzülmek.,acı,Deyim,4
acısı ortaya çıkmak,"olumsuz sonucu yavaş yavaş ortaya çıkmak:<i> 'Dur bakalım daha hele, o içtiklerinin acısı bir bir çıkacak ortaya.' -</i>M. İzgü.",acı,Deyim,4
acısını almak,1) acılığını gidermek; 2) sızıyı dindirmek.,acı,Deyim,7
acısını bağrına (içine) basmak (gömmek),"bir üzüntüye, sıkıntıya yakınmadan katlanmak.",acı,Deyim,4
acısını çekmek,yapılan yanlış bir işin doğurduğu sıkıntı ve üzüntü içinde bulunmak.,acı,Deyim,4
acısını çıkarmak,1) acılığını yok etmek:<i> Soğanın acısını çıkarmak.</i> 2)<i> mec.</i> uğradığı maddi veya manevi zararı karşılayacak bir iş yapmak:<i> 'Bunca gecikmişliğe rağmen o günlerin acısını çıkarabilmesine imkân tanımalıydı.' -</i>E. Şafak. 3)<i> mec.</i> öç almak:<i> 'Ustanın kendisini küçük burjuva münevveri diye aşağılık görmesinin acısını çıkarıyor.' -</i>N. Hikmet.,acı,Deyim,8
acısını görmek,bir yakınının ölümünü görmek.,acı,Deyim,4
"acıyan uyumuş, acıkan uyumamış",insan sıkıntıya katlanır da açlığa katlanamaz.,"acımak, uyumak, acıkmak, uyumak",Atasözü,8
aciz içinde olmak,"gücü yetmemek, becerememek.",aciz,Deyim,1
âciz kalmak,çok uğraşmasına karşın bir işi yapamamak:<i> 'Kitaplar Taptuk'u anlatmaktan âciz kalır.' -</i>A. Kabaklı.,âciz,Deyim,9
acze düşmek,"çaresiz kalmak, elinden bir şey gelmemek.",aciz,Deyim,4
aç aç ile yatınca arada dilenci doğar,karı koca yoksul olursa bunların çocukları da yoksul olur.,"yatmak, doğmak",Atasözü,8
aç açık kalmak,"yoksulluk içinde, evsiz barksız kalmak.",aç,Deyim,8
"aç aman bilmez, çocuk zaman bilmez","aç hiçbir mazeretle susturulamaz, çocuk da istediği şeyi hemen elde etmek ister.",bilmek,Atasözü,6
aç aslandan tok domuz yeğdir,"soysuz olup para kazanan, soylu olup da para kazanmayandan üstündür.",,Atasözü,8
"aç at yol almaz, aç it av almaz",iş gördürdüğünüz kimselerin haklarını tam olarak vermezseniz kendilerinden yararlanamazsınız.,almak,Atasözü,8
aç ayı oynamaz,kendisinden iş beklenilen kimseden emeğinin karşılığı esirgenmemelidir.,oynamak,Atasözü,8
aç domuz darıdan çıkmaz,"kötü yaradılışlı aç olan kimse kime, neye zarar verdiğini düşünmeden sadece karnını doyurmaya bakar.",çıkmak,Atasözü,8
"aç doymam, tok acıkmam sanır","aç insan elde ettiğinden çoğunu ister, varlıklı insan ise daha fazlasını ister.","doymak, acıkmak, sanmak",Atasözü,8
aç doyurmak,yoksulları beslemek.,aç,Deyim,8
aç elini kora sokar,"aç insan, geçimini sağlamak için kendisini her türlü tehlikeye atar.",sokmak,Atasözü,8
"aç esner, âşık gerinir",herkes içinde bulunduğu koşula göre davranır.,"esnemek, gerinmek",Atasözü,8
aç gezmektense tok ölmek yeğdir,yoksulluk ölümden de beterdir.,,Atasözü,8
"aç gözünü, açarlar gözünü","yaptığın işlerde uyanık davranmazsan çok kötü durumlarla karşılaşır, gözünü dört açmak zorunda kalırsın.",açmak,Atasözü,9
aç ile dost olayım diyen peşin karnını doyursun,"yakınlık kurduğumuz kimsenin sağlama olanağı bulunmayan şeyi, ondan beklemeden kendimiz elde etmeye çalışmalıyız.","olmak, demek, karın, doymak",Atasözü,8
aç ile eceli gelen söyleşir,"açın gözü hiçbir şeyi görmez, karnını doyurabilmek için kendisine güçlük çıkaran bir kimseyi öldürebilir.","gelmek, söyleşmek",Atasözü,4
aç it fırın duvarını deler,aç kimse karnını doyurmak için önüne çıkan engellerin tamamını aşar ve isteğini elde eder.,delmek,Atasözü,8
aç kalmak,"1) karnını doyuramamak:<i> 'Fatma'nın yemek çantası olmasaydı, dün aç kalmıştım.' -</i>F. R. Atay. 2) yoksulluğa düşmek.",aç,Deyim,0
"aç kalmak, borçlu olmaktan iyidir","sözünün eri olana, borcunu ödeyememek aç kalmaktan daha ağır gelir.",,Atasözü,8
aç köpek fırın deler,aç kimse karnını doyurmak için önüne çıkan engellerin tamamını aşar ve isteğini elde eder.,delmek,Atasözü,8
aç kurt aslana saldırır,aç kimse karnını doyurmak için gerekirse ölümü göze alır.,saldırmak,Atasözü,8
aç kurt gibi,büyük bir istekle.,aç,Deyim,4
aç kurt yavrusunu yer,"açın gözü kararmıştır, karnını doyurmak için ölümü bile göze alarak kendisinden kat kat güçlü olan yaratıklarla boğuşur.",yemek,Atasözü,2
aç mezarı yoktur,"kişi yoksul olabilir, işsiz ve parasız kalabilir ama aç kalmaz, mutlaka bir geçim yolu bulur.",,Atasözü,8
"aç ne yemez, tok ne demez","yoksul kimse eline geçen şeyin iyisine kötüsüne bakmaz, varlıklı kişi ise en güzel şeylerde bile kusur bulur.","yemek, demek",Atasözü,2
"aç ölmez gözü kararır, susuz ölmez benzi sararır",yoksulluk insanı öldürmez ama türlü türlü üzüntü ve sıkıntı içinde yıpratır.,"ölmek, kararmak, beniz, sararmak",Atasözü,8
aç susuz kalmak,1) yoksulluktan yaşayamayacak bir duruma gelmek; 2) yoksul bir duruma düşmek.,aç,Deyim,4
aç tavuk kendini arpa (buğday) ambarında sanır,"insanlar, yokluğunu, yoksulluğunu çektikleri şeyler için olmayacak hayaller, düşler kurar.",sanmak,Atasözü,8
aç tokun gözüne bakmakla doymaz,yoksul insanla ilgilenmek ancak ona yardım etmekle olur.,doymak,Atasözü,8
aç yanında sarpın kurcalanmaz,"bir kimsenin yanında, onun çok duyarlı olduğu konuya değinmemek gerekir.",kurcalanmak,Atasözü,9
aç yanından kaç,aç insan tehlikelidir.,kaçmak,Atasözü,8
"aç yeri başka, acı yeri başka",insanın yüreği ne denli acıyla dolu olsa da yemek yemeyi ister.,,Atasözü,0
"aça dokuz yorgan örtmüşler, yine uyuyamamış","1) aç olan kimse, kendisine ne kadar rahatlık sağlanırsa sağlansın, dinlendirilemez. 2) bir şeye ihtiyaç duyan kimse, ancak onun giderilmesiyle rahata kavuşturulabilir.","örtmek, uyumak",Atasözü,8
açığını kapamak (kapatmak),1) eksiğinin veya küçük düşürücü durumunun anlaşılmamasını sağlamak; 2) eksiğini tamamlamak.,açık,Deyim,2
açık ağız aç kalmaz,"isteklerini uygun bir biçimde söylemesini bilen kimse, onları önünde sonunda elde eder.",kalmak,Atasözü,4
açık düşmek,1) herhangi bir sebeple bir filodan veya istenilen yerden uzakta kalmak; 2)<i> sp.</i> yağlı güreşte yenilgi sebebi olan sırtı veya yanı toprağa değmek.,açık,Deyim,4
açık göte herkes tükürür,"utanç verici, iğrendirici davranışları herkes ayıplar, tiksinti ile karşılar.",tükürmek,Atasözü,8
açık kaba it değer (siyer),gizli kalması gereken şeyler herkese söylenirse bundan büyük zararlar doğar.,"değmek, siymek",Atasözü,8
açık kapamak,"bütçenin gider fazlasını, para sağlayarak ortadan kaldırmak.",açık,Deyim,8
açık kapı bırakmak,"gereğinde, bir konuya yeniden dönebilme imkânı bırakmak, kesip atmamak.",açık,Deyim,4
açık vermek,"1) geliri, giderini karşılamamak; 2) gizlenmek istenen bir olayı, bir düşünceyi veya durumu elde olmayarak ortaya koymak, açıklamak.",açık,Deyim,4
açık yaraya tuz ekilmez,"acısı henüz taze olan bir kimsenin üzüntüsü, birtakım söz ve davranışlarla artırılmamalıdır.",ekilmek,Atasözü,4
açıklar livası olmak,<i> alay</i> işsiz ve kazançsız kalmak.,açıklar livası,Deyim,1
açıklığa kavuşturmak,"bir konu veya sorunu aydınlatmak, kapalılıktan kurtarmak, anlaşılır duruma getirmek.",açıklık,Deyim,4
açıklık getirmek,bir konu veya sorunu anlaşılır duruma getirmek.,açıklık,Deyim,4
açıklık kazanmak,"bir konu aydınlanmak, anlaşılır duruma gelmek.",açıklık,Deyim,4
açıkta kalmak (olmak),1) iş ve görev bulamamak; 2) yersiz yurtsuz kalmak; 3) birkaç kişinin birlikte eriştiği bir iyilikten yararlanamamak.,açık,Deyim,1
açıktan almak,1)<i> den.</i> açıktan geçmek; 2)<i> mec.</i> bir tehlikenin uzağından geçmek.,açıktan,Deyim,7
"açılan solar, ağlayan güler","hiçbir durum olduğu gibi kalmaz, gün gelir tersine döner.","açılmak, solmak, ağlamak, gülmek",Atasözü,8
açılıp saçılmak,1) kadın açık saçık giyinmeye başlamak; 2) kadın eskisine göre ölçüsüz davranışlarda bulunmaya başlamak.,açılmak,Deyim,8
açın gözü ekmek teknesinde olur,"kişinin tek düşüncesi, yaşaması için gerekli olan şeyi elde etmektir.",olmak,Atasözü,2
açın imanı olmaz,aç olan kimseden her türlü kötülük beklenebilir.,olmak,Atasözü,8
"açın karnı doyar, gözü doymaz","tutkulu olduğu konuda insan doyumsuzdur, yetinmek bilmez.","karın, doymak",Atasözü,8
açın koynunda (karnında) ekmek durmaz (eğleşmez),"kazancı yetmeyen kişi, eline geçeni hemen harcar, yarını için bir şey saklayamaz.","koyun, karın, durmak, eğleşmek",Atasözü,8
açın kursağına çörek dayanmaz,yoksulluk içinde bulunan kimsenin bir eksiği giderilse başka bir eksiği kendini gösterir.,"kursak, dayanmak",Atasözü,4
açın uykusu gelmez,"1) aç olan kimse, kendisine ne kadar rahatlık sağlanırsa sağlansın, dinlendirilemez. 2) bir şeye ihtiyaç duyan kimse, ancak onun giderilmesiyle rahata kavuşturulabilir.",gelmek,Atasözü,8
açlığını öldürmek,açlık duygusunu yatıştırmak:<i> 'Kaldırılmış harman yerlerinden buğday toplayıp açlığımızı öldürdük.' -</i>O. Kemal.,açlık,Deyim,8
açlık çekmek,yoksulluk içinde bulunmak.,açlık,Deyim,8
açlık ile tokluğun arası yarım yufka,"yoksul olan buna üzülmemelidir, küçücük bir şey bile en büyük ihtiyacı gidermeye yeter.",tokluk,Atasözü,2
açlıktan gözü (gözleri) dönmek (kararmak),çok acıkmak:<i> 'Bu akşam açlıktan gözü dönmüş bir hâlde bir evin mutfağına girmişti.' -</i>S. F. Abasıyanık.,açlık,Deyim,9
açlıktan imanı gevremek,çok acıkmak.,açlık,Deyim,9
açlıktan nefesi kokmak,yoksulluk içinde bulunmak.,açlık,Deyim,8
açlıktan ölmek,"dayanılmaz derecede acıkmak, çok acıkmak.",açlık,Deyim,9
açlıktan ölmeyecek kadar,çok az:<i> Açlıktan ölmeyecek kadar yiyor.</i>,açlık,Deyim,9
"açma sırrını dostuna, dostunun dostu vardır o da söyler dostuna",bir sır en yakın dosta bile söylenmemelidir.,söylemek,Atasözü,2
açmaza düşmek,içinden çıkılması güç durumda kalmak.,açmaz,Deyim,8
açmaza getirmek (düşürmek),"düzen, hile yapmak, bir kimseyi oyuna getirmek, zor duruma sokmak.",açmaz,Deyim,4
"açtı ağzını, yumdu gözünü",öfkelenerek veya kızarak ağır sözler söyledi.,"açmak, ağız, yummak",Atasözü,8
açtırma ağzımı,'kötü bir söz söylememe fırsat verme' anlamında kullanılan bir söz.,açtırmak,Deyim,3
"açtırma kutuyu, söyletme kötüyü",kendin hakkındaki kötü düşüncelerimi veya bildiklerimi bana söyletme.,"açtırmak, söyletmek",Atasözü,8
ad almak,1) kendisine ad verilmek; 2) ün kazanmak.,ad(I),Deyim,7
ad çekmeye girmek,"1) kuraya tabi olmak:<i> 'Yüksek Seçim Kurulu Başkanı ve Başkan Vekili ad çekmeye girmezler.' -</i>Anayasa. 2)<i> sp.</i> oyunun başlangıcında, alan seçimi, başlama atışı veya karşılama hakkı için öncelik sağlamak amacıyla kura çekmek.",ad çekme,Deyim,8
ad koymak,adlandırmak.,ad(I),Deyim,8
ad takmak,"1) adlandırmak:<i> 'Çadırlarının başından ayrılmayan inatçı grevcilere öteki işçiler, çadır tutan diye ad taktı.' -</i>L. Tekin. 2) alay etmek veya övmek amacıyla lakap takmak.",ad(I),Deyim,6
ad vermek,adlandırmak.,ad(I),Deyim,8
ad yapmak,"bir alanda ün kazanmak, ün almak.",ad(I),Deyim,7
"ada bana, adayım sana",sen bir kimse için fedakârlıkta bulunursan o da senin için fedakârlıkta bulunur.,adamak,Atasözü,8
ada gibi,pek büyük (gemi).,ada,Deyim,8
adak adamak,"bir dileğin gerçekleşmesi amacıyla kurban kesip yoksullara dağıtmak veya kutsal olduğuna inanılan bir güce niyette bulunmak:<i> 'Sen bana niye söylemedin? Sadaka verirdik, adak adardık.' -</i>M. Ş. Esendal.",adak,Deyim,4
adalet dağıtmak,kanunların saydığı hakları sahiplerine vermek.,adalet,Deyim,8
"adam adama (gene, her zaman) gerek olur",insanların birbirlerine her zaman gereksinimleri olur.,olmak,Atasözü,8
"adam adama yük değil, can gövdeye mülk değil",konuğumuzdan veya yanımıza bir iş için gelen kimseden yüksünmemeliyiz çünkü onlar yanımızda sürekli olarak kalmazlar.,,Atasözü,4
"adam adamdan korkmaz, utanır","insanları ahlaklı davranmaya iten korku değil, küçük görülme duygusudur.","korkmak, utanmak",Atasözü,2
"adam adamdır olmasa da pulu, eşek eşektir atlastan olsa çulu","insanın değeri zengin olmakla artmaz, asıl olan insanlığıdır.",olmak,Atasözü,2
adam adamı bir kere aldatır,"bir kimse başka bir kimseyi ancak bir kez aldatabilir, diğeri bir daha aldatmasına izin vermez.",aldatmak,Atasözü,4
adam beğenmemek,herkesi değersiz görmek.,adam,Deyim,8
adam değilim,"'herhangi bir durumun gerçekleşmemesi durumunda, kendisinin insan sayılamayacağı' anlamında kullanılan bir söz.",adam,Deyim,3
adam gibi,"1) terbiyeli, akıllı uslu; 2) adamlığa, insanlığa yaraşır yolda; 3) iyice.",adam,Deyim,8
adam içine çıkmak,"topluluğa karışmak, insanların bulunduğu yerlere gitmek, eşe dosta gitmek.",adam,Deyim,8
adam içine karışmak,"bir topluluğa girmek, kendisine değer verilir olmak.",adam,Deyim,1
adam kullanmak,1) birini çalıştırmasını bilmek; 2) birini kendi çıkarına alet etmek.,adam,Deyim,6
adam olacak çocuk bokundan belli olur,bir kimsenin yeni başladığı işte usta olup olamayacağı ilk davranışlarından anlaşılır.,olmak,Atasözü,4
adam olana bir söz yeter,anlayışlı olan kimse için bir şeyin bir kez söylenmesi yeterli olur.,"olmak, yetmek",Atasözü,4
adam olana çok bile,"layık olmadığı, hak etmediği hâlde kişinin beklentisi daha fazla olduğu durumlarda kullanılan bir söz.",adam,Deyim,2
adam sen de!,bir işin önemsenmediğini anlatmak için söylenen bir söz.,adam,Deyim,4
adam sırasına geçmek (girmek),"daha önce toplumda önemli bir yeri veya özel bir değeri yokken artık kendisine önem ve değer verilmek:<i> 'Bize yol aç, erkân göster; yollar aç bize de, biz de adam sırasına girelim.' -</i>K. Korcan.",adam,Deyim,4
adama benzemek (dönmek),"1) giyim kuşamıyla, davranışlarıyla insana yakışır bir biçim almak:<i> 'Bak gördün mü, isteyince adama dönüyorsun.' -</i>E. Işınsu. 2) beğenilir duruma gelmek:<i> Şimdiki belediye başkanı sayesinde şehir adama benzedi.</i>",adam,Deyim,8
"adamak kolay, ödemek zordur",söz vermek kolaydır ancak o sözü yerine getirmek zordur.,,Atasözü,8
adamakla mal tükenmez,"yardım sözle değil, gerçekten fedakârlık yapılarak gerçekleştirilir.",tükenmek,Atasözü,8
adamın adı çıkacağına canı çıksın,insanın haklı veya haksız yere adı bir defalık kötüye çıktı mı ondan sonra yaptıkları hep o gözle değerlendirilir.,çıkmak,Atasözü,4
adamın iyisi işbaşında (alışverişte) belli olur,bir kişinin iyi ve becerikli olduğu yaptığı işlerden anlaşılır.,olmak,Atasözü,2
adamın (kimsenin) adı çıkmadansa canı çıkması (yeğdir),insanın haklı veya haksız yere adı bir defalık kötüye çıktı mı ondan sonra yaptıkları hep o gözle değerlendirilir.,çıkmak,Atasözü,4
"adamın kötüsü olmaz, meğer züğürt ola",toplum içinde herkesin bir değeri vardır ancak züğürtlere değer verilmez.,olmak,Atasözü,8
"adamın yere bakanından, suyun yavaş akanından kork",duygu ve düşüncelerini açığa vurmayan sessiz insan yavaş akan derin su gibi tehlikelidir.,"bakmak, akmak, korkmak",Atasözü,8
adamına göre,1) kişiler arasında ayrıcalık gözeterek; 2) herkesin yeteneğine uygun olarak.,adam,Deyim,8
adamlık sende kalsın,"1) karşı taraf iyilik bilmese de sen yine iyilik et; 2) bu işi nasıl olsa sana yaptıracaklar, bari kendiliğinden yap da onurunu koru.",kalmak,Atasözü,2
aday göstermek,"bir iş veya bir görev için birini aday olarak belirlemek, namzet göstermek:<i> 'Siyasi parti grupları Başkanlık için aday gösteremezler.' -</i>Anayasa.",aday,Deyim,4
adaylığını koymak,bir iş veya göreve seçilmek için kendini ileri sürmek:<i> 'Bankacılardan birkaçının kurgularıyla belediye başkanlığına adaylığını koymuştu.' -</i>M. Ş. Esendal.,adaylık,Deyim,8
âdembaba gibi,"parasız pulsuz, perişan, zavallı.",âdembaba,Deyim,8
âdembabaya dönmek,malını mülkünü kaybetmek.,âdembaba,Deyim,8
âdet görmek,kadın aybaşı olmak.,âdet,Deyim,1
âdet olduğu üzere,alışıldığı gibi.,âdet,Deyim,8
âdet yerini bulsun diye,"'gerekli görüldüğü için değil, yalnız alışılmış olduğu için' anlamında kullanılan bir söz.",âdet,Deyim,3
adı batmak,"sevilmeyen bir şey veya kimse unutulmak, adı anılmaz olmak, artık sözü edilmemek.",ad(I),Deyim,1
adı bile okunmamak,birine veya bir şeye hiç önem verilmemek.,ad(I),Deyim,2
adı (bile) olmamak,değeri olmamak:<i> Bir baş soğanın da adı mı olurmuş?</i>,ad(I),Deyim,2
adı çıkmak,"1) kötü bir ün kazanmak:<i> Onun adı çıkmış yoksa fena adam değil.</i> 2) hakkı olmayan bir ün kazanmak:<i> O berberin adı çıkmış, aslında iyi tıraş edemiyor.</i>",ad(I),Deyim,4
"adı çıkmış dokuza, inmez sekize","'birinin bir kere adı çıktıktan sonra onun hakkındaki yaygın inanç artık kolay kolay düzelemez' anlamında kullanılan bir söz:<i> 'Artık o yana bir daha gelme, adın çıktı dokuza, inmez sekize, demedim miydi?' -</i>B. Günel.",ad(I),Deyim,4
adı deliye çıkmak,deli olmadığı hâlde deli olarak tanınmak:<i> 'Böyle bir şey yazmaya kalkarsam adım deliye çıkacak.' -</i>R. N. Güntekin.,ad(I),Deyim,8
adı geçmek,"anılmak, söz konusu olmak, ismi geçmek:<i> 'Necip Fazıl, adı geçen iki şiirden birer bölüm okudu.' -</i>A. Kabaklı.",ad(I),Deyim,8
adı gibi bilmek,çok iyi bilmek.,ad(I),Deyim,9
adı kaldırılmak,"anılmaz olmak, silinip gitmek:<i> 'Saatlerce adı dünya yüzünden kaldırılmaya çalışılan Türklüğün talihini düşünürdüm.' -</i>Ö. Seyfettin.",ad(I),Deyim,8
adı kalmak,"bir kimse veya bir şey öldükten, ortadan çekildikten sonra dillerde yalnız adı dolaşmak.",ad(I),Deyim,4
adı kötüye çıkmak,ünü kötü olarak yayılmak.,ad(I),Deyim,8
adı olmak,"gereksiz, yersiz ünü olmak.",ad(I),Deyim,1
adı sanı olmak,"bilinmek, tanınmak, ünlü olmak:<i> 'Osman Efendi'nin adı sanı vardı.' -</i>İ. H. Baltacıoğlu.",adı sanı,Deyim,1
adı var,"1) beklenilen, istenilen özelliklere sahip olmayan; 2) tercih edilecek özelliklere sahip.",ad(I),Deyim,8
adım (adımını) atmak,1) yürümek için ayağını öne doğru uzatıp basmak:<i> 'Yıllar var ki bu eve tek bir ziyaretçi bile adım atmamıştı.' -</i>E. Şafak. 2)<i> mec.</i> bir işe ilk kez girişmek.,adım,Deyim,2
adımını attırmamak,1) rahat davranmasını engellemek amacıyla sürekli olarak denetim altında bulundurmak; 2) bir yere girmesine engel olmak.,adım,Deyim,1
adımını geri atmak,başladığı bir işten geri dönmek.,adım,Deyim,4
adımlarını açmak,yürürken hızlanmak.,adım,Deyim,8
adımlarını seyrekleştirmek,hızlı yürürken yavaşlamak.,adım,Deyim,8
